case_text,case_type,severity_score,court_level,timestamp,case_type_encoded
Petition challenging right to life under Article 26 of Constitution,criminal_appeal,0.7,supreme_court,2025-12-21T10:01:20.028550,5
My boss hasn't paid my salary for 4 months,labor_law,0.7,user_input,2025-12-21T10:01:20.028550,9
Civil suit for recovery of ₹2805253 regarding services,civil_dispute,0.3,district_court,2025-12-21T10:01:20.028550,1
Criminal appeal challenging conviction under 386 IPC,civil_appeal,0.4,supreme_court,2025-12-20T10:01:20.028550,0
Criminal appeal challenging conviction under 385 IPC,taxation,0.3,supreme_court,2025-12-20T10:01:20.028550,12
Criminal appeal challenging conviction under 353 IPC,service_matters,0.5,supreme_court,2025-12-19T10:01:20.028550,11
Civil suit for recovery of ₹4182084 regarding services,criminal_trial,0.8,district_court,2025-12-17T10:01:20.028550,7
Consumer complaint against defective in appliance,criminal_trial,0.8,district_court,2025-12-16T10:01:20.028550,7
FIR registered for domestic violence at residential area,criminal_law,1.0,police_station,2025-12-16T10:01:20.028550,6
Petition challenging privacy violation under Article 19 of Constitution,civil_appeal,0.5,supreme_court,2025-12-16T10:01:20.028550,0
Petition challenging discrimination under Article 29 of Constitution,service_matters,0.5,supreme_court,2025-12-15T10:01:20.028550,11
Criminal appeal challenging conviction under 323 IPC,service_matters,0.5,supreme_court,2025-12-15T10:01:20.028550,11
Criminal appeal challenging conviction under 303 IPC,criminal_appeal,0.7,supreme_court,2025-12-14T10:01:20.028550,5
Petition challenging freedom of speech under Article 19 of Constitution,criminal_appeal,0.7,supreme_court,2025-12-14T10:01:20.028550,5
Civil suit for recovery of ₹1745082 regarding loan,criminal_trial,0.8,district_court,2025-12-14T10:01:20.028550,7
Criminal complaint under 453 IPC,consumer_rights,0.2,district_court,2025-12-14T10:01:20.028550,3
Criminal case filed for privacy breach against organization,criminal_law,1.0,police_station,2025-12-13T10:01:20.028550,6
Police report of criminal intimidation under 395 IPC,criminal_law,0.9,police_station,2025-12-13T10:01:20.028550,6
Police report of criminal intimidation under 464 IPC,criminal_law,0.9,police_station,2025-12-13T10:01:20.028550,6
Petition challenging discrimination under Article 16 of Constitution,service_matters,0.5,supreme_court,2025-12-13T10:01:20.028550,11
Petition challenging freedom of speech under Article 24 of Constitution,constitutional_law,0.8,supreme_court,2025-12-12T10:01:20.028550,2
Police report of assault under 394 IPC,criminal_law,1.0,police_station,2025-12-12T10:01:20.028550,6
Petition challenging freedom of speech under Article 29 of Constitution,civil_appeal,0.4,supreme_court,2025-12-12T10:01:20.028550,0
Civil suit for recovery of ₹3446711 regarding services,family_law,0.6,district_court,2025-12-12T10:01:20.028550,8
Police report of cheating under 417 IPC,criminal_law,0.9,police_station,2025-12-12T10:01:20.028550,6
Complaint regarding harassment involving strangers,criminal_law,1.0,police_station,2025-12-11T10:01:20.028550,6
Civil suit for recovery of ₹1110135 regarding goods,civil_dispute,0.3,district_court,2025-12-10T10:01:20.028550,1
Criminal appeal challenging conviction under 325 IPC,taxation,0.3,supreme_court,2025-12-05T10:01:20.028550,12
Criminal complaint under 353 IPC,criminal_trial,0.8,district_court,2025-12-04T10:01:20.028550,7
Criminal appeal challenging conviction under 332 IPC,service_matters,0.5,supreme_court,2025-12-04T10:01:20.028550,11
Police report of cheating under 502 IPC,criminal_law,0.9,police_station,2025-12-02T10:01:20.028550,6
Police report of cheating under 488 IPC,criminal_law,0.9,police_station,2025-12-02T10:01:20.028550,6
Criminal complaint under 496 IPC,family_law,0.6,district_court,2025-12-02T10:01:20.028550,8
Criminal complaint under 323 IPC,civil_dispute,0.3,district_court,2025-12-02T10:01:20.028550,1
Police report of cheating under 456 IPC,criminal_law,0.9,police_station,2025-12-01T10:01:20.028550,6
Complaint regarding harassment involving family members,criminal_law,1.0,police_station,2025-11-29T10:01:20.028550,6
Criminal complaint under 420 IPC,civil_dispute,0.3,district_court,2025-11-28T10:01:20.028550,1
Civil suit for recovery of ₹1779265 regarding loan,family_law,0.6,district_court,2025-11-28T10:01:20.028550,8
Criminal complaint under 344 IPC,consumer_rights,0.2,district_court,2025-11-27T10:01:20.028550,3
Criminal appeal challenging conviction under 324 IPC,taxation,0.3,supreme_court,2025-11-26T10:01:20.028550,12
Civil suit for recovery of ₹555819 regarding property,family_law,0.6,district_court,2025-11-25T10:01:20.028550,8
My boss hasn't paid my salary for 5 months,labor_law,0.7,user_input,2025-11-24T10:01:20.028550,9
Police report of theft under 511 IPC,criminal_law,1.0,police_station,2025-11-21T10:01:20.028550,6
Police report of cheating under 506 IPC,criminal_law,0.9,police_station,2025-11-20T10:01:20.028550,6
Police report of assault under 479 IPC,criminal_law,1.0,police_station,2025-11-20T10:01:20.028550,6
Suit for damages in property_dispute dispute,property_dispute,0.6,high_court,2025-11-18T10:01:20.028550,10
FIR registered for theft at public place,criminal_law,1.0,police_station,2025-11-18T10:01:20.028550,6
Criminal complaint under 488 IPC,civil_dispute,0.3,district_court,2025-11-15T10:01:20.028550,1
Civil suit for recovery of ₹431040 regarding loan,family_law,0.6,district_court,2025-11-15T10:01:20.028550,8
Criminal complaint under 501 IPC,consumer_rights,0.2,district_court,2025-11-14T10:01:20.028550,3
Civil suit for recovery of ₹614391 regarding loan,criminal_trial,0.8,district_court,2025-11-12T10:01:20.028550,7
Civil suit for recovery of ₹1796162 regarding services,criminal_trial,0.8,district_court,2025-11-12T10:01:20.028550,7
Civil suit for recovery of ₹4357899 regarding loan,family_law,0.6,district_court,2025-11-11T10:01:20.028550,8
Petition challenging right to life under Article 15 of Constitution,criminal_appeal,0.7,supreme_court,2025-11-11T10:01:20.028550,5
Criminal appeal challenging conviction under 355 IPC,constitutional_law,0.8,supreme_court,2025-11-10T10:01:20.028550,2
Criminal appeal challenging conviction under 358 IPC,constitutional_law,0.8,supreme_court,2025-11-08T10:01:20.028550,2
Criminal complaint under 333 IPC,criminal_trial,0.8,district_court,2025-11-08T10:01:20.028550,7
Police report of criminal intimidation under 434 IPC,criminal_law,0.9,police_station,2025-11-07T10:01:20.028550,6
Police report of assault under 431 IPC,criminal_law,1.0,police_station,2025-11-07T10:01:20.028550,6
Criminal complaint under 413 IPC,criminal_trial,0.8,district_court,2025-11-05T10:01:20.028550,7
Civil suit for recovery of ₹1157434 regarding property,civil_dispute,0.3,district_court,2025-11-05T10:01:20.028550,1
Petition challenging discrimination under Article 31 of Constitution,criminal_appeal,0.7,supreme_court,2025-11-05T10:01:20.028550,5
Police report of assault under 406 IPC,criminal_law,1.0,police_station,2025-11-04T10:01:20.028550,6
Civil suit for recovery of ₹816305 regarding services,consumer_rights,0.2,district_court,2025-11-04T10:01:20.028550,3
Criminal complaint under 359 IPC,civil_dispute,0.3,district_court,2025-11-03T10:01:20.028550,1
Police report of criminal intimidation under 391 IPC,criminal_law,0.9,police_station,2025-11-03T10:01:20.028550,6
Civil suit for recovery of ₹1029741 regarding goods,consumer_rights,0.2,district_court,2025-11-03T10:01:20.028550,3
Civil suit for recovery of ₹2363008 regarding property,consumer_rights,0.2,district_court,2025-11-03T10:01:20.028550,3
Civil suit for recovery of ₹2038141 regarding services,criminal_trial,0.8,district_court,2025-11-02T10:01:20.028550,7
Police report of assault under 386 IPC,criminal_law,1.0,police_station,2025-11-02T10:01:20.028550,6
Police report of criminal intimidation under 379 IPC,criminal_law,0.9,police_station,2025-11-02T10:01:20.028550,6
Civil suit for recovery of ₹608033 regarding loan,consumer_rights,0.2,district_court,2025-11-01T10:01:20.028550,3
Criminal appeal challenging conviction under 367 IPC,constitutional_law,0.8,supreme_court,2025-11-01T10:01:20.028550,2
Civil suit for recovery of ₹2213488 regarding loan,criminal_trial,0.8,district_court,2025-10-30T10:01:20.028550,7
Criminal complaint under 326 IPC,civil_dispute,0.3,district_court,2025-10-29T10:01:20.028550,1
Civil suit for recovery of ₹838745 regarding services,family_law,0.6,district_court,2025-10-29T10:01:20.028550,8
Civil suit for recovery of ₹4677287 regarding property,civil_dispute,0.3,district_court,2025-10-28T10:01:20.028550,1
Police report of criminal intimidation under 483 IPC,criminal_law,0.9,police_station,2025-10-28T10:01:20.028550,6
Civil suit for recovery of ₹4805085 regarding loan,family_law,0.6,district_court,2025-10-27T10:01:20.028550,8
Criminal appeal challenging conviction under 328 IPC,civil_appeal,0.4,supreme_court,2025-10-26T10:01:20.028550,0
Civil suit for recovery of ₹4788629 regarding loan,civil_dispute,0.3,district_court,2025-10-26T10:01:20.028550,1
Criminal appeal challenging conviction under 387 IPC,civil_appeal,0.4,supreme_court,2025-10-25T10:01:20.028550,0
Petition challenging privacy violation under Article 14 of Constitution,criminal_appeal,0.8,supreme_court,2025-10-25T10:01:20.028550,5
Police report of theft under 396 IPC,criminal_law,1.0,police_station,2025-10-23T10:01:20.028550,6
Criminal complaint under 429 IPC,consumer_rights,0.2,district_court,2025-10-23T10:01:20.028550,3
Civil suit for recovery of ₹4845174 regarding property,consumer_rights,0.2,district_court,2025-10-22T10:01:20.028550,3
Petition challenging discrimination under Article 14 of Constitution,civil_appeal,0.4,supreme_court,2025-10-20T10:01:20.028550,0
Civil suit for recovery of ₹3973500 regarding property,civil_dispute,0.3,district_court,2025-10-20T10:01:20.028550,1
Police report of cheating under 403 IPC,criminal_law,0.9,police_station,2025-10-19T10:01:20.028550,6
Criminal appeal challenging conviction under 319 IPC,civil_appeal,0.4,supreme_court,2025-10-17T10:01:20.028550,0
Criminal complaint under 482 IPC,criminal_trial,0.8,district_court,2025-10-15T10:01:20.028550,7
Police report of assault under 469 IPC,criminal_law,1.0,police_station,2025-10-15T10:01:20.028550,6
Petition challenging discrimination under Article 18 of Constitution,service_matters,0.5,supreme_court,2025-10-14T10:01:20.028550,11
Civil suit for recovery of ₹1992854 regarding loan,civil_dispute,0.3,district_court,2025-10-14T10:01:20.028550,1
Civil suit for recovery of ₹1285524 regarding loan,civil_dispute,0.3,district_court,2025-10-14T10:01:20.028550,1
Criminal appeal challenging conviction under 383 IPC,constitutional_law,0.8,supreme_court,2025-10-11T10:01:20.028550,2
Civil suit for recovery of ₹2971311 regarding property,criminal_trial,0.8,district_court,2025-10-10T10:01:20.028550,7
Criminal appeal challenging conviction under 390 IPC,civil_appeal,0.4,supreme_court,2025-10-09T10:01:20.028550,0
Criminal complaint under 480 IPC,family_law,0.6,district_court,2025-10-09T10:01:20.028550,8
Police report of assault under 438 IPC,criminal_law,1.0,police_station,2025-10-09T10:01:20.028550,6
FIR registered for domestic violence at workplace,criminal_law,1.0,police_station,2025-10-08T10:01:20.028550,6
Criminal appeal challenging conviction under 412 IPC,service_matters,0.5,supreme_court,2025-10-08T10:01:20.028550,11
Petition challenging discrimination under Article 28 of Constitution,constitutional_law,0.8,supreme_court,2025-10-07T10:01:20.028550,2
Criminal appeal challenging conviction under 352 IPC,civil_appeal,0.4,supreme_court,2025-10-07T10:01:20.028550,0
FIR registered for theft at residential area,criminal_law,1.0,police_station,2025-10-07T10:01:20.028550,6
Criminal complaint under 414 IPC,criminal_trial,0.8,district_court,2025-10-06T10:01:20.028550,7
Civil suit for recovery of ₹4345430 regarding property,civil_dispute,0.3,district_court,2025-10-04T10:01:20.028550,1
Police report of criminal intimidation under 436 IPC,criminal_law,0.9,police_station,2025-10-03T10:01:20.028550,6
Police report of assault under 413 IPC,criminal_law,1.0,police_station,2025-10-03T10:01:20.028550,6
Criminal complaint under 460 IPC,civil_dispute,0.3,district_court,2025-10-03T10:01:20.028550,1
Civil suit for recovery of ₹4963484 regarding services,civil_dispute,0.3,district_court,2025-10-03T10:01:20.028550,1
Criminal appeal challenging conviction under 322 IPC,constitutional_law,0.8,supreme_court,2025-10-03T10:01:20.028550,2
Criminal complaint under 431 IPC,civil_dispute,0.3,district_court,2025-09-30T10:01:20.028550,1
Criminal appeal challenging conviction under 330 IPC,taxation,0.3,supreme_court,2025-09-30T10:01:20.028550,12
Petition challenging freedom of speech under Article 26 of Constitution,civil_appeal,0.4,supreme_court,2025-09-28T10:01:20.028550,0
Police report of assault under 472 IPC,criminal_law,1.0,police_station,2025-09-25T10:01:20.028550,6
Police report of assault under 508 IPC,criminal_law,1.0,police_station,2025-09-25T10:01:20.028550,6
Petition challenging discrimination under Article 25 of Constitution,constitutional_law,0.8,supreme_court,2025-09-25T10:01:20.028550,2
Criminal complaint under 484 IPC,civil_dispute,0.3,district_court,2025-09-24T10:01:20.028550,1
Civil suit for recovery of ₹1532792 regarding property,consumer_rights,0.2,district_court,2025-09-23T10:01:20.028550,3
Police report of assault under 416 IPC,criminal_law,1.0,police_station,2025-09-23T10:01:20.028550,6
Police report of theft under 500 IPC,criminal_law,1.0,police_station,2025-09-22T10:01:20.028550,6
Police report of theft under 429 IPC,criminal_law,1.0,police_station,2025-09-20T10:01:20.028550,6
Police report of cheating under 427 IPC,criminal_law,0.9,police_station,2025-09-19T10:01:20.028550,6
Criminal complaint under 327 IPC,civil_dispute,0.3,district_court,2025-09-18T10:01:20.028550,1
Criminal appeal challenging conviction under 374 IPC,civil_appeal,0.4,supreme_court,2025-09-18T10:01:20.028550,0
Police report of criminal intimidation under 480 IPC,criminal_law,0.9,police_station,2025-09-17T10:01:20.028550,6
Criminal complaint under 380 IPC,family_law,0.6,district_court,2025-09-16T10:01:20.028550,8
Police report of criminal intimidation under 389 IPC,criminal_law,0.9,police_station,2025-09-16T10:01:20.028550,6
Criminal appeal challenging conviction under 320 IPC,civil_appeal,0.4,supreme_court,2025-09-15T10:01:20.028550,0
Civil suit for recovery of ₹1033799 regarding goods,family_law,0.6,district_court,2025-09-14T10:01:20.028550,8
Police report of assault under 445 IPC,criminal_law,1.0,police_station,2025-09-13T10:01:20.028550,6
Petition challenging right to life under Article 31 of Constitution,constitutional_law,0.8,supreme_court,2025-09-12T10:01:20.028550,2
Petition challenging freedom of speech under Article 21 of Constitution,constitutional_law,0.8,supreme_court,2025-09-10T10:01:20.028550,2
Police report of theft under 467 IPC,criminal_law,1.0,police_station,2025-09-08T10:01:20.028550,6
Criminal complaint under 463 IPC,consumer_rights,0.2,district_court,2025-09-07T10:01:20.028550,3
Police report of criminal intimidation under 429 IPC,criminal_law,0.9,police_station,2025-09-06T10:01:20.028550,6
Police report of cheating under 490 IPC,criminal_law,0.9,police_station,2025-09-04T10:01:20.028550,6
Suit for damages in family_law dispute,family_law,0.7,high_court,2025-09-03T10:01:20.028550,8
Civil suit for recovery of ₹4501721 regarding services,civil_dispute,0.3,district_court,2025-09-01T10:01:20.028550,1
Criminal appeal challenging conviction under 310 IPC,service_matters,0.5,supreme_court,2025-08-30T10:01:20.028550,11
Petition challenging discrimination under Article 19 of Constitution,service_matters,0.5,supreme_court,2025-08-29T10:01:20.028550,11
Criminal appeal challenging conviction under 302 IPC,criminal_appeal,0.7,supreme_court,2025-08-29T10:01:20.028550,5
Criminal appeal challenging conviction under 384 IPC,service_matters,0.5,supreme_court,2025-08-29T10:01:20.028550,11
Criminal complaint under 385 IPC,civil_dispute,0.3,district_court,2025-08-29T10:01:20.028550,1
Civil suit for recovery of ₹2965833 regarding goods,civil_dispute,0.3,district_court,2025-08-29T10:01:20.028550,1
Police report of theft under 451 IPC,criminal_law,1.0,police_station,2025-08-29T10:01:20.028550,6
Civil suit for recovery of ₹3054489 regarding loan,consumer_rights,0.2,district_court,2025-08-28T10:01:20.028550,3
Civil suit for recovery of ₹4811991 regarding property,family_law,0.6,district_court,2025-08-27T10:01:20.028550,8
Civil suit for recovery of ₹4957558 regarding goods,consumer_rights,0.2,district_court,2025-08-26T10:01:20.028550,3
Petition challenging privacy violation under Article 22 of Constitution,taxation,0.4,supreme_court,2025-08-26T10:01:20.028550,12
Civil suit for recovery of ₹4447387 regarding goods,criminal_trial,0.8,district_court,2025-08-24T10:01:20.028550,7
Criminal appeal challenging conviction under 369 IPC,taxation,0.3,supreme_court,2025-08-24T10:01:20.028550,12
Civil suit for recovery of ₹3012864 regarding services,civil_dispute,0.3,district_court,2025-08-24T10:01:20.028550,1
Civil suit for recovery of ₹2792530 regarding goods,family_law,0.6,district_court,2025-08-23T10:01:20.028550,8
Civil suit for recovery of ₹2369210 regarding loan,civil_dispute,0.3,district_court,2025-08-21T10:01:20.028550,1
Criminal appeal challenging conviction under 344 IPC,civil_appeal,0.4,supreme_court,2025-08-21T10:01:20.028550,0
Civil suit for recovery of ₹2246696 regarding services,consumer_rights,0.2,district_court,2025-08-20T10:01:20.028550,3
Criminal appeal challenging conviction under 311 IPC,taxation,0.3,supreme_court,2025-08-20T10:01:20.028550,12
Civil suit for recovery of ₹3361208 regarding services,family_law,0.6,district_court,2025-08-19T10:01:20.028550,8
Civil suit for recovery of ₹1578576 regarding services,criminal_trial,0.8,district_court,2025-08-19T10:01:20.028550,7
Petition challenging freedom of speech under Article 15 of Constitution,taxation,0.3,supreme_court,2025-08-18T10:01:20.028550,12
Criminal complaint under 370 IPC,consumer_rights,0.2,district_court,2025-08-15T10:01:20.028550,3
Police report of theft under 395 IPC,criminal_law,1.0,police_station,2025-08-15T10:01:20.028550,6
Criminal appeal challenging conviction under 410 IPC,constitutional_law,0.8,supreme_court,2025-08-15T10:01:20.028550,2
Petition challenging discrimination under Article 30 of Constitution,constitutional_law,0.8,supreme_court,2025-08-14T10:01:20.028550,2
Civil suit for recovery of ₹668362 regarding goods,civil_dispute,0.3,district_court,2025-08-14T10:01:20.028550,1
Criminal appeal challenging conviction under 356 IPC,criminal_appeal,0.7,supreme_court,2025-08-14T10:01:20.028550,5
Civil suit for recovery of ₹300012 regarding loan,family_law,0.6,district_court,2025-08-13T10:01:20.028550,8
Petition challenging privacy violation under Article 25 of Constitution,civil_appeal,0.5,supreme_court,2025-08-12T10:01:20.028550,0
Police report of assault under 487 IPC,criminal_law,1.0,police_station,2025-08-10T10:01:20.028550,6
Police report of theft under 432 IPC,criminal_law,1.0,police_station,2025-08-09T10:01:20.028550,6
Civil suit for recovery of ₹2396886 regarding services,civil_dispute,0.3,district_court,2025-08-09T10:01:20.028550,1
Police report of theft under 461 IPC,criminal_law,1.0,police_station,2025-08-08T10:01:20.028550,6
Police report of cheating under 453 IPC,criminal_law,0.9,police_station,2025-08-08T10:01:20.028550,6
Criminal appeal challenging conviction under 340 IPC,constitutional_law,0.8,supreme_court,2025-08-07T10:01:20.028550,2
Criminal complaint under 509 IPC,civil_dispute,0.3,district_court,2025-08-06T10:01:20.028550,1
Criminal complaint under 376 IPC,consumer_rights,0.2,district_court,2025-08-04T10:01:20.028550,3
Civil suit for recovery of ₹2324628 regarding services,consumer_rights,0.2,district_court,2025-08-04T10:01:20.028550,3
Civil suit for recovery of ₹625458 regarding loan,consumer_rights,0.2,district_court,2025-08-04T10:01:20.028550,3
Police report of theft under 381 IPC,criminal_law,1.0,police_station,2025-08-03T10:01:20.028550,6
Civil suit for recovery of ₹4798797 regarding services,family_law,0.6,district_court,2025-08-02T10:01:20.028550,8
Police report of assault under 504 IPC,criminal_law,1.0,police_station,2025-07-31T10:01:20.028550,6
Civil suit for recovery of ₹1459074 regarding services,civil_dispute,0.3,district_court,2025-07-30T10:01:20.028550,1
Civil suit for recovery of ₹877514 regarding loan,civil_dispute,0.3,district_court,2025-07-28T10:01:20.028550,1
Civil suit for recovery of ₹1746398 regarding services,family_law,0.6,district_court,2025-07-27T10:01:20.028550,8
Police report of theft under 443 IPC,criminal_law,1.0,police_station,2025-07-26T10:01:20.028550,6
Criminal complaint under 478 IPC,consumer_rights,0.2,district_court,2025-07-25T10:01:20.028550,3
Police report of criminal intimidation under 414 IPC,criminal_law,0.9,police_station,2025-07-25T10:01:20.028550,6
Criminal complaint under 468 IPC,criminal_trial,0.8,district_court,2025-07-24T10:01:20.028550,7
Civil suit for recovery of ₹3820805 regarding services,consumer_rights,0.2,district_court,2025-07-24T10:01:20.028550,3
Criminal complaint under 462 IPC,civil_dispute,0.3,district_court,2025-07-24T10:01:20.028550,1
Criminal appeal challenging conviction under 335 IPC,constitutional_law,0.8,supreme_court,2025-07-23T10:01:20.028550,2
Criminal complaint under 338 IPC,consumer_rights,0.2,district_court,2025-07-23T10:01:20.028550,3
Civil suit for recovery of ₹2330111 regarding property,family_law,0.6,district_court,2025-07-21T10:01:20.028550,8
Police report of theft under 474 IPC,criminal_law,1.0,police_station,2025-07-20T10:01:20.028550,6
Petition challenging freedom of speech under Article 25 of Constitution,constitutional_law,0.8,supreme_court,2025-07-20T10:01:20.028550,2
Petition challenging right to life under Article 32 of Constitution,service_matters,0.5,supreme_court,2025-07-20T10:01:20.028550,11
Civil suit for recovery of ₹2674886 regarding loan,consumer_rights,0.2,district_court,2025-07-19T10:01:20.028550,3
Criminal complaint under 493 IPC,family_law,0.6,district_court,2025-07-17T10:01:20.028550,8
Civil suit for recovery of ₹60005 regarding property,civil_dispute,0.3,district_court,2025-07-17T10:01:20.028550,1
Police report of cheating under 459 IPC,criminal_law,0.9,police_station,2025-07-17T10:01:20.028550,6
Criminal complaint under 324 IPC,consumer_rights,0.2,district_court,2025-07-15T10:01:20.028550,3
Civil suit for recovery of ₹4200014 regarding goods,civil_dispute,0.3,district_court,2025-07-15T10:01:20.028550,1
Criminal complaint under 454 IPC,family_law,0.6,district_court,2025-07-14T10:01:20.028550,8
Criminal complaint under 507 IPC,civil_dispute,0.3,district_court,2025-07-14T10:01:20.028550,1
Criminal appeal challenging conviction under 329 IPC,service_matters,0.5,supreme_court,2025-07-10T10:01:20.028550,11
Civil suit for recovery of ₹4791847 regarding services,civil_dispute,0.3,district_court,2025-07-10T10:01:20.028550,1
Criminal appeal challenging conviction under 419 IPC,taxation,0.3,supreme_court,2025-07-08T10:01:20.028550,12
Criminal appeal challenging conviction under 365 IPC,service_matters,0.5,supreme_court,2025-07-07T10:01:20.028550,11
Petition challenging right to life under Article 30 of Constitution,criminal_appeal,0.7,supreme_court,2025-07-07T10:01:20.028550,5
FIR registered for assault at public place,criminal_law,1.0,police_station,2025-07-06T10:01:20.028550,6
Civil suit for recovery of ₹2406250 regarding goods,family_law,0.6,district_court,2025-07-06T10:01:20.028550,8
Police report of criminal intimidation under 386 IPC,criminal_law,0.9,police_station,2025-07-06T10:01:20.028550,6
Civil suit for recovery of ₹3920777 regarding property,consumer_rights,0.2,district_court,2025-07-03T10:01:20.028550,3
Civil suit for recovery of ₹3566728 regarding loan,consumer_rights,0.2,district_court,2025-07-02T10:01:20.028550,3
Criminal complaint under 430 IPC,consumer_rights,0.2,district_court,2025-07-02T10:01:20.028550,3
Civil suit for recovery of ₹821182 regarding property,family_law,0.6,district_court,2025-07-01T10:01:20.028550,8
Petition challenging right to life under Article 16 of Constitution,taxation,0.3,supreme_court,2025-06-30T10:01:20.028550,12
Criminal appeal challenging conviction under 375 IPC,service_matters,0.5,supreme_court,2025-06-30T10:01:20.028550,11
Police report of criminal intimidation under 499 IPC,criminal_law,0.9,police_station,2025-06-28T10:01:20.028550,6
Criminal complaint under 387 IPC,family_law,0.6,district_court,2025-06-28T10:01:20.028550,8
Civil suit for recovery of ₹4469851 regarding goods,civil_dispute,0.3,district_court,2025-06-28T10:01:20.028550,1
Criminal complaint under 428 IPC,civil_dispute,0.3,district_court,2025-06-28T10:01:20.028550,1
Civil suit for recovery of ₹765191 regarding goods,consumer_rights,0.2,district_court,2025-06-27T10:01:20.028550,3
Police report of cheating under 401 IPC,criminal_law,0.9,police_station,2025-06-26T10:01:20.028550,6
Civil suit for recovery of ₹3324696 regarding loan,criminal_trial,0.8,district_court,2025-06-25T10:01:20.028550,7
Civil suit for recovery of ₹3277098 regarding services,civil_dispute,0.3,district_court,2025-06-25T10:01:20.028550,1
Civil suit for recovery of ₹2450426 regarding property,criminal_trial,0.8,district_court,2025-06-24T10:01:20.028550,7
Petition challenging discrimination under Article 27 of Constitution,taxation,0.3,supreme_court,2025-06-23T10:01:20.028550,12
Suit for damages in criminal_law dispute,criminal_law,1.0,high_court,2025-06-23T10:01:20.028550,6
Civil suit for recovery of ₹2207287 regarding services,family_law,0.6,district_court,2025-06-23T10:01:20.028550,8
Civil suit for recovery of ₹205646 regarding property,family_law,0.6,district_court,2025-06-21T10:01:20.028550,8
Police report of assault under 501 IPC,criminal_law,1.0,police_station,2025-06-20T10:01:20.028550,6
Police report of theft under 409 IPC,criminal_law,1.0,police_station,2025-06-19T10:01:20.028550,6
Civil suit for recovery of ₹1516081 regarding loan,civil_dispute,0.3,district_court,2025-06-18T10:01:20.028550,1
Police report of theft under 426 IPC,criminal_law,1.0,police_station,2025-06-18T10:01:20.028550,6
Criminal complaint under 440 IPC,civil_dispute,0.3,district_court,2025-06-17T10:01:20.028550,1
Civil suit for recovery of ₹2981962 regarding services,civil_dispute,0.3,district_court,2025-06-17T10:01:20.028550,1
Civil suit for recovery of ₹4358933 regarding loan,civil_dispute,0.3,district_court,2025-06-17T10:01:20.028550,1
Criminal complaint under 373 IPC,criminal_trial,0.8,district_court,2025-06-17T10:01:20.028550,7
Police report of assault under 392 IPC,criminal_law,1.0,police_station,2025-06-17T10:01:20.028550,6
Criminal complaint under 472 IPC,consumer_rights,0.2,district_court,2025-06-17T10:01:20.028550,3
Petition challenging right to life under Article 21 of Constitution,constitutional_law,0.8,supreme_court,2025-06-16T10:01:20.028550,2
Police report of assault under 498 IPC,criminal_law,1.0,police_station,2025-06-16T10:01:20.028550,6
Criminal complaint under 391 IPC,consumer_rights,0.2,district_court,2025-06-15T10:01:20.028550,3
Police report of criminal intimidation under 409 IPC,criminal_law,0.9,police_station,2025-06-14T10:01:20.028550,6
Police report of theft under 468 IPC,criminal_law,1.0,police_station,2025-06-13T10:01:20.028550,6
Criminal appeal challenging conviction under 378 IPC,criminal_appeal,0.7,supreme_court,2025-06-13T10:01:20.028550,5
Civil suit for recovery of ₹3612784 regarding services,family_law,0.6,district_court,2025-06-12T10:01:20.028550,8
Criminal complaint under 381 IPC,consumer_rights,0.2,district_court,2025-06-12T10:01:20.028550,3
Civil suit for recovery of ₹3468329 regarding services,family_law,0.6,district_court,2025-06-11T10:01:20.028550,8
Police report of criminal intimidation under 503 IPC,criminal_law,0.9,police_station,2025-06-10T10:01:20.028550,6
Criminal complaint under 485 IPC,family_law,0.6,district_court,2025-06-10T10:01:20.028550,8
Criminal complaint under 499 IPC,civil_dispute,0.3,district_court,2025-06-09T10:01:20.028550,1
Criminal appeal challenging conviction under 391 IPC,civil_appeal,0.4,supreme_court,2025-06-09T10:01:20.028550,0
Criminal complaint under 339 IPC,civil_dispute,0.3,district_court,2025-06-07T10:01:20.028550,1
Police report of cheating under 464 IPC,criminal_law,0.9,police_station,2025-06-04T10:01:20.028550,6
Civil suit for recovery of ₹4848178 regarding loan,family_law,0.6,district_court,2025-06-03T10:01:20.028550,8
Civil suit for recovery of ₹627867 regarding goods,family_law,0.6,district_court,2025-06-02T10:01:20.028550,8
Police report of assault under 458 IPC,criminal_law,1.0,police_station,2025-06-01T10:01:20.028550,6
Criminal complaint under 415 IPC,civil_dispute,0.3,district_court,2025-06-01T10:01:20.028550,1
Criminal complaint under 325 IPC,criminal_trial,0.8,district_court,2025-05-31T10:01:20.028550,7
Civil suit for recovery of ₹3914581 regarding services,civil_dispute,0.3,district_court,2025-05-30T10:01:20.028550,1
Civil suit for recovery of ₹4463587 regarding loan,civil_dispute,0.3,district_court,2025-05-30T10:01:20.028550,1
Police report of theft under 422 IPC,criminal_law,1.0,police_station,2025-05-28T10:01:20.028550,6
Criminal complaint under 495 IPC,criminal_trial,0.8,district_court,2025-05-27T10:01:20.028550,7
Civil suit for recovery of ₹2206570 regarding services,family_law,0.6,district_court,2025-05-26T10:01:20.028550,8
Civil suit for recovery of ₹4826893 regarding goods,family_law,0.6,district_court,2025-05-25T10:01:20.028550,8
Criminal appeal challenging conviction under 337 IPC,taxation,0.3,supreme_court,2025-05-24T10:01:20.028550,12
