text,category
"The rental agreement had early termination fees",consumer_law
"I was served wrong dish",consumer_law
"The product warranty was voided",consumer_law
"Catalog delivery continued after stop",consumer_law
"I received damaged sporting goods",consumer_law
"The product had asbestos contamination",consumer_law
"I was billed for consultation fee",consumer_law
"False non-GMO claims",consumer_law
"The coach showed bias",education_law
"The school district underfunded sports",education_law
"I was denied team tryouts",education_law
"Discrimination in coaching assignments",education_law
"The college breached athletic contract",education_law
"My athletic scholarship was reduced",education_law
"The school failed to provide equipment",education_law
"I was benched for academic performance",education_law
"Unfair eligibility requirements",education_law
"The institution violated gender equity",education_law
"My association was sued by regulators",business_law
"The auditor failed professional standards",business_law
"I was accused of unfair competition",business_law
"The constitution was amended improperly",business_law
"My competitor engaged in ambush marketing",business_law
"The business was defamed by reviews",business_law
"The venture capital pulled out",business_law
"I was forced into arbitration",business_law
"Collective mark infringement",business_law
"Antitrust investigation",business_law
"My coordinator assigns busywork",labour_law
"I was denied mental health days",labour_law
"The company monitors time clocks",labour_law
"I work with pathogens without protocols",labour_law
"My employer refused caregiver leave",labour_law
"I was fired for whistleblower activity",labour_law
"Biased grievance procedures",labour_law
"The workplace has temperature issues",labour_law
"I was forced to donate to company charity",labour_law
"My profit sharing was miscalculated",labour_law
"The residential complex has violations",property_law
"My landlord charges late fees",property_law
"The property management is negligent",property_law
"I was charged for repairs not authorized",property_law
"The property millage was incorrect",property_law
"My tenant has excessive guests",property_law
"The lease agreement is unenforceable",property_law
"I discovered the property has unpermitted additions",property_law
"The HOA board is ineffective",property_law
"My neighbor's satellite dish blocks view",property_law
"API compromise through third party",cyber_crime
"Someone hacked my robot vacuum",cyber_crime
"I was victim of business email compromise",cyber_crime
"Fake investment seminar",cyber_crime
"Unauthorized access to my credit reports",cyber_crime
"Cyber attack on my CRM systems",cyber_crime
"Someone stole my video content",cyber_crime
"Home improvement scam",cyber_crime
"Data breach at voter registration",cyber_crime
"Phishing using calendar invites",cyber_crime
"White collar crime ring",criminal_law
"I was assaulted in a bar",criminal_law
"Someone stole my art collection",criminal_law
"Impaired driving caused brain injury",criminal_law
"Harassing texts from unknown number",criminal_law
"I witnessed a sexual assault",criminal_law
"Arson at storage facility",criminal_law
"Someone keyed my motorcycle",criminal_law
"Counterfeiting of designer goods",criminal_law
"Stalking through online tracking",criminal_law
"The cleaner damaged my furniture",consumer_law
"I bought a telescope with optical problems",consumer_law
"The financing agreement had prepayment penalties",consumer_law
"I was served underseasoned food",consumer_law
"The product warranty was denied for misuse",consumer_law
"Newsletter continued after unsubscribe",consumer_law
"I received damaged electronics",consumer_law
"The product had benzene contamination",consumer_law
"I was billed for service call",consumer_law
"False biodegradable claims",consumer_law
"The registrar showed bias",education_law
"The school district misallocated budgets",education_law
"I was denied course registration",education_law
"Discrimination in research opportunities",education_law
"The university breached research agreement",education_law
"My research grant was cut",education_law
"The school failed to provide lab space",education_law
"I was failed for attendance policy",education_law
"Unfair grade appeal process",education_law
"The institution violated research ethics",education_law
"My foundation was sued by beneficiaries",business_law
"The translator failed accuracy standards",business_law
"I was accused of disparagement",business_law
"The charter was revoked improperly",business_law
"My competitor engaged in product disparagement",business_law
"The company was defamed by ex-employees",business_law
"The angel investment fell through",business_law
"I was forced into mediation",business_law
"Trade name infringement",business_law
"Environmental compliance violation",business_law
